"datetime,""smlouvaid"",""initialplanorig"",""initialplanpricing"",""plan"",""manualplan"",""energysum"",""energyhtsum"",""energyltsum"",""valid"""
"2023-02-21 19:00:00+01:00,""2009408"",0.171,0.235299639,0.171,,0.248,0.248,,1"
"2023-02-04 21:00:00+01:00,""2011537"",0.0059488649,0.0059488649,0.0059488649,,0.006,0.006,,1"
"2023-02-04 05:00:00+01:00,""2011543"",0.0028213496,0.0028213496,0.0028213496,,0.001,0.001,,1"
"2023-02-28 11:00:00+01:00,""2011543"",0.0064381057,0.0064381057,0.0064381057,,0.006,0.006,,1"
